timestamp,risk_scale
2017-02-12,1.0
2017-02-19,1.0
2017-02-26,1.0
2017-03-05,1.0
2017-03-12,0.8274226953842746
2017-03-19,1.0
2017-03-26,1.0
2017-04-02,1.0
2017-04-09,1.0
2017-04-16,1.0
2017-04-23,1.0
2017-04-30,1.0
2017-05-07,1.0
2017-05-14,1.0
2017-05-21,1.0
2017-05-28,1.0
2017-06-04,1.0
2017-06-11,1.0
2017-06-18,1.0
2017-06-25,1.0
2017-07-02,1.0
2017-07-09,1.0
2017-07-16,1.0
2017-07-23,0.8217218227499062
2017-07-30,1.0
2017-08-06,1.0
2017-08-13,1.0
2017-08-20,1.0
2017-08-27,1.0
2017-09-03,1.0
2017-09-10,1.0
2017-09-17,1.0
2017-09-24,1.0
2017-10-01,1.0
2017-10-08,1.0
2017-10-15,1.0
2017-10-22,1.0
2017-10-29,1.0
2017-11-05,1.0
2017-11-12,1.0
2017-11-19,1.0
2017-11-26,1.0
2017-12-03,1.0
2017-12-10,1.0
2017-12-17,1.0
2017-12-24,1.0
2017-12-31,1.0
2018-01-07,1.0
2018-01-14,1.0
2018-01-21,1.0
2018-01-28,1.0
2018-02-04,1.0
2018-02-11,1.0
2018-02-18,1.0
2018-02-25,1.0
2018-03-04,1.0
2018-03-11,1.0
2018-03-18,1.0
2018-03-25,1.0
2018-04-01,1.0
2018-04-08,1.0
2018-04-15,0.2
2018-04-22,0.9799148016818165
2018-04-29,0.9774146104269221
2018-05-06,0.968084462637744
2018-05-13,1.0
2018-05-20,1.0
2018-05-27,1.0
2018-06-03,1.0
2018-06-10,1.0
2018-06-17,1.0
2018-06-24,1.0
2018-07-01,1.0
2018-07-08,1.0
2018-07-15,1.0
2018-07-22,1.0
2018-07-29,1.0
2018-08-05,1.0
2018-08-12,1.0
2018-08-19,0.9371838356076503
2018-08-26,1.0
2018-09-02,1.0
2018-09-09,1.0
2018-09-16,1.0
2018-09-23,1.0
2018-09-30,1.0
2018-10-07,1.0
2018-10-14,1.0
2018-10-21,1.0
2018-10-28,1.0
2018-11-04,1.0
2018-11-11,1.0
2018-11-18,1.0
2018-11-25,1.0
2018-12-02,1.0
2018-12-09,1.0
2018-12-16,1.0
2018-12-23,1.0
2018-12-30,1.0
2019-01-06,1.0
2019-01-13,1.0
2019-01-20,0.9897740951016354
2019-01-27,1.0
2019-02-03,1.0
2019-02-10,1.0
2019-02-17,1.0
2019-02-24,1.0
2019-03-03,1.0
2019-03-10,1.0
2019-03-17,1.0
2019-03-24,1.0
2019-03-31,1.0
2019-04-07,1.0
2019-04-14,1.0
2019-04-21,1.0
2019-04-28,1.0
2019-05-05,1.0
2019-05-12,1.0
2019-05-19,1.0
2019-05-26,1.0
2019-06-02,1.0
2019-06-09,1.0
2019-06-16,1.0
2019-06-23,1.0
2019-06-30,1.0
2019-07-07,1.0
2019-07-14,1.0
2019-07-21,1.0
2019-07-28,1.0
2019-08-04,1.0
2019-08-11,1.0
2019-08-18,1.0
2019-08-25,1.0
2019-09-01,1.0
2019-09-08,0.5021312193915346
2019-09-15,1.0
2019-09-22,1.0
2019-09-29,1.0
2019-10-06,1.0
2019-10-13,1.0
2019-10-20,1.0
2019-10-27,1.0
2019-11-03,1.0
2019-11-10,1.0
2019-11-17,1.0
2019-11-24,1.0
2019-12-01,1.0
2019-12-08,1.0
2019-12-15,1.0
2019-12-22,1.0
2019-12-29,1.0
2020-01-05,1.0
2020-01-12,1.0
2020-01-19,1.0
2020-01-26,1.0
2020-02-02,1.0
2020-02-09,1.0
2020-02-16,1.0
2020-02-23,1.0
2020-03-01,1.0
2020-03-08,1.0
2020-03-15,1.0
2020-03-22,1.0
2020-03-29,1.0
2020-04-05,1.0
2020-04-12,1.0
2020-04-19,1.0
2020-04-26,1.0
2020-05-03,1.0
2020-05-10,1.0
2020-05-17,1.0
2020-05-24,1.0
2020-05-31,1.0
2020-06-07,1.0
2020-06-14,1.0
2020-06-21,1.0
2020-06-28,1.0
2020-07-05,1.0
2020-07-12,1.0
2020-07-19,1.0
2020-07-26,1.0
2020-08-02,1.0
2020-08-09,1.0
2020-08-16,1.0
2020-08-23,1.0
2020-08-30,1.0
2020-09-06,1.0
2020-09-13,1.0
2020-09-20,1.0
2020-09-27,1.0
2020-10-04,1.0
2020-10-11,1.0
2020-10-18,1.0
2020-10-25,0.5307031821601742
2020-11-01,1.0
2020-11-08,1.0
2020-11-15,1.0
2020-11-22,1.0
2020-11-29,0.2788492171162531
2020-12-06,1.0
2020-12-13,1.0
2020-12-20,1.0
2020-12-27,1.0
2021-01-03,1.0
2021-01-10,1.0
2021-01-17,1.0
2021-01-24,1.0
2021-01-31,1.0
2021-02-07,1.0
2021-02-14,1.0
2021-02-21,1.0
2021-02-28,1.0
2021-03-07,1.0
2021-03-14,1.0
2021-03-21,1.0
2021-03-28,1.0
2021-04-04,1.0
2021-04-11,1.0
2021-04-18,1.0
2021-04-25,1.0
2021-05-02,1.0
2021-05-09,1.0
2021-05-16,1.0
2021-05-23,1.0
2021-05-30,1.0
2021-06-06,1.0
2021-06-13,1.0
2021-06-20,1.0
2021-06-27,1.0
2021-07-04,1.0
2021-07-11,0.9041051074089159
2021-07-18,1.0
2021-07-25,1.0
2021-08-01,1.0
2021-08-08,1.0
2021-08-15,1.0
2021-08-22,1.0
2021-08-29,1.0
2021-09-05,1.0
2021-09-12,1.0
2021-09-19,1.0
2021-09-26,1.0
2021-10-03,1.0
2021-10-10,1.0
2021-10-17,1.0
2021-10-24,1.0
2021-10-31,1.0
2021-11-07,1.0
2021-11-14,1.0
2021-11-21,1.0
2021-11-28,1.0
2021-12-05,1.0
2021-12-12,1.0
2021-12-19,1.0
2021-12-26,1.0
2022-01-02,1.0
2022-01-09,1.0
2022-01-16,1.0
2022-01-23,1.0
2022-01-30,1.0
2022-02-06,1.0
2022-02-13,1.0
2022-02-20,1.0
2022-02-27,1.0
2022-03-06,0.8523032752406812
2022-03-13,1.0
2022-03-20,1.0
2022-03-27,1.0
2022-04-03,1.0
2022-04-10,1.0
2022-04-17,1.0
2022-04-24,1.0
2022-05-01,1.0
2022-05-08,1.0
2022-05-15,1.0
2022-05-22,1.0
2022-05-29,1.0
2022-06-05,1.0
2022-06-12,1.0
2022-06-19,1.0
2022-06-26,1.0
2022-07-03,1.0
2022-07-10,1.0
2022-07-17,1.0
2022-07-24,1.0
2022-07-31,0.4487959661546206
2022-08-07,1.0
2022-08-14,1.0
2022-08-21,1.0
2022-08-28,1.0
2022-09-04,1.0
2022-09-11,1.0
2022-09-18,1.0
2022-09-25,0.8178998624852812
2022-10-02,1.0
2022-10-09,1.0
2022-10-16,1.0
2022-10-23,1.0
2022-10-30,1.0
2022-11-06,1.0
2022-11-13,1.0
2022-11-20,1.0
2022-11-27,1.0
2022-12-04,1.0
2022-12-11,1.0
2022-12-18,1.0
2022-12-25,1.0
2023-01-01,1.0
2023-01-08,1.0
2023-01-15,1.0
2023-01-22,1.0
2023-01-29,1.0
2023-02-05,1.0
2023-02-12,0.9037637788829289
2023-02-19,1.0
2023-02-26,1.0
2023-03-05,1.0
2023-03-12,1.0
2023-03-19,1.0
2023-03-26,1.0
2023-04-02,1.0
2023-04-09,1.0
2023-04-16,1.0
2023-04-23,1.0
2023-04-30,1.0
2023-05-07,1.0
2023-05-14,1.0
2023-05-21,0.5610556567229625
2023-05-28,1.0
2023-06-04,1.0
2023-06-11,1.0
2023-06-18,1.0
2023-06-25,1.0
2023-07-02,1.0
2023-07-09,1.0
2023-07-16,1.0
2023-07-23,1.0
2023-07-30,1.0
2023-08-06,1.0
2023-08-13,1.0
2023-08-20,0.4085871852102151
2023-08-27,1.0
2023-09-03,1.0
2023-09-10,1.0
2023-09-17,1.0
2023-09-24,0.4400751005689103
2023-10-01,1.0
2023-10-08,1.0
2023-10-15,1.0
2023-10-22,1.0
2023-10-29,1.0
2023-11-05,1.0
2023-11-12,1.0
2023-11-19,1.0
2023-11-26,1.0
2023-12-03,1.0
2023-12-10,1.0
2023-12-17,1.0
2023-12-24,1.0
2023-12-31,1.0
2024-01-07,1.0
2024-01-14,1.0
2024-01-21,1.0
2024-01-28,1.0
2024-02-04,1.0
2024-02-11,1.0
2024-02-18,1.0
2024-02-25,0.7575317718353018
2024-03-03,1.0
2024-03-10,1.0
2024-03-17,1.0
2024-03-24,1.0
2024-03-31,1.0
2024-04-07,1.0
2024-04-14,1.0
2024-04-21,1.0
2024-04-28,1.0
2024-05-05,1.0
2024-05-12,0.9948113428391283
2024-05-19,1.0
2024-05-26,1.0
2024-06-02,1.0
2024-06-09,1.0
2024-06-16,1.0
2024-06-23,1.0
2024-06-30,1.0
2024-07-07,1.0
2024-07-14,1.0
2024-07-21,1.0
2024-07-28,1.0
2024-08-04,1.0
2024-08-11,1.0
2024-08-18,1.0
2024-08-25,1.0
2024-09-01,1.0
2024-09-08,1.0
2024-09-15,1.0
2024-09-22,1.0
2024-09-29,1.0
2024-10-06,1.0
2024-10-13,1.0
2024-10-20,1.0
2024-10-27,1.0
2024-11-03,1.0
2024-11-10,1.0
2024-11-17,1.0
2024-11-24,1.0
2024-12-01,1.0
2024-12-08,1.0
2024-12-15,1.0
2024-12-22,1.0
2024-12-29,1.0
2025-01-05,1.0
2025-01-12,1.0
2025-01-19,1.0
2025-01-26,1.0
2025-02-02,1.0
2025-02-09,1.0
2025-02-16,1.0
2025-02-23,1.0
2025-03-02,1.0
2025-03-09,1.0
2025-03-16,1.0
2025-03-23,1.0
2025-03-30,0.8612956744249857
2025-04-06,0.6368924621473124
2025-04-13,0.9504270334646402
2025-04-20,1.0
2025-04-27,1.0
2025-05-04,1.0
2025-05-11,1.0
2025-05-18,1.0
2025-05-25,1.0
2025-06-01,1.0
2025-06-08,1.0
2025-06-15,1.0
2025-06-22,1.0
2025-06-29,1.0
2025-07-06,1.0
2025-07-13,1.0
2025-07-20,1.0
2025-07-27,1.0
2025-08-03,1.0
2025-08-10,1.0
2025-08-17,1.0
2025-08-24,1.0
2025-08-31,1.0
2025-09-07,1.0
2025-09-14,1.0
2025-09-21,1.0
2025-09-28,1.0
2025-10-05,1.0
2025-10-12,1.0
2025-10-19,1.0
2025-10-26,1.0
2025-11-02,1.0
2025-11-09,1.0
2025-11-16,1.0
2025-11-23,1.0
2025-11-30,1.0
2025-12-07,1.0
2025-12-14,0.5805516308116417
2025-12-21,1.0
2025-12-28,1.0
2026-01-04,1.0
2026-01-11,1.0
2026-01-18,1.0
2026-01-25,0.9167641991093687
2026-02-01,0.9475707286945009
2026-02-08,1.0
2026-02-15,1.0
2026-02-22,1.0
2026-03-01,1.0
2026-03-08,1.0
2026-03-15,1.0
2026-03-22,1.0
2026-03-29,1.0
2026-04-05,1.0
2026-04-12,1.0
2026-04-19,1.0
2026-04-26,1.0
2026-05-03,1.0
2026-05-10,1.0
2026-05-17,1.0
